País,Inmigrantes
España,284921
Estados Unidos,219448
Chile,79253
Italia,72321
Paraguay,61833
Bolivia,47601
Israel,38204
Brasil,36910
Uruguay,33022
Perú,26854
Canadá,20921
Alemania,20566
Australia,17900
México,16688
Francia,14807
Reino Unido,11385
Suiza,9509
Venezuela,9374
Colombia,5719
Ecuador,5645
Países Bajos,4371
Nueva Zelanda,4136
Japón,3629
Suecia,3503
Panamá,3062
Sudáfrica,2854
Bélgica,2587
Dinamarca,2361
Costa Rica,1761
Austria,1698
